front,back,left,right,top,roll,pitch,yaw
55.49666667,129.24,262.0533333,118.45,210.71,0.017666667,0.0078,-1.584066667
52.86666667,175.4866667,195.0233333,127.5633333,216.8433333,0.0075,0.001366667,-1.5834
50.72333333,192.1166667,205.9566667,131.1733333,215.0733333,0.005433333,-0.002833333,-1.590633333
53.81333333,197.2033333,218.4133333,125.1933333,169.1066667,0.0083,-0.003,-1.587533333
57.46666667,208.3766667,208.95,90.71666667,115.2466667,0.0033,0.0008,-1.589433333
59.71,178.2533333,139.59,102.4766667,108.5066667,0.000533333,0.006033333,-1.5914
54.4,191.3866667,107.8233333,76.69666667,125.8966667,-0.007533333,0.014333333,-1.5986
53.28333333,161.05,142.0633333,96.11,178.3233333,-0.009933333,0.0173,-1.588666667
54.40333333,192.2633333,189.9,90.95666667,195.3966667,-0.005933333,0.0201,-1.5664
61.37333333,182.5766667,182.37,127.7366667,200.74,0.004233333,0.010133333,-1.5573
61.79333333,164.5766667,240.1633333,106.0533333,164.0133333,0.0095,0.005233333,-1.5492
60.67666667,196.9466667,194.2433333,97.14666667,151.3033333,-0.002833333,0.000933333,-1.559833333
55.96333333,232.4566667,178.17,90.23333333,137.6566667,-0.0148,0.002666667,-1.564366667
57,229.3566667,167.2733333,95.07666667,131.0233333,-0.017,-0.001033333,-1.576666667
57.22666667,214.1633333,163.53,95.18,131.4066667,0.000533333,-0.003233333,-1.5561
58.78,174.6966667,176.0833333,79.42666667,139.31,0.018366667,-0.0005,-1.5345
57.65,211.44,165.2366667,74.58,133.3066667,0.028066667,0.003866667,-1.5066
60.8,235.18,254.3933333,95.02,110.8966667,0.015666667,0.006733333,-1.523366667
59.76666667,254.9266667,231.1133333,81.33666667,104.1333333,0.003733333,0.0052,-1.5367
59.9,196.11,262.89,86.73,121.9333333,-0.004166667,0.004666667,-1.5528
57.92333333,177.9233333,245.4266667,64.81666667,184.2766667,-0.0053,0.001733333,-1.554
57.22333333,223.8466667,253.5733333,76.66333333,185.2866667,-0.001433333,0.000666667,-1.551166667
56.67,224.8666667,181.7533333,96.96333333,190.0966667,0.002466667,0.001533333,-1.553333333
58.59,156.3366667,133.7833333,125.9133333,182.8166667,-0.001,0.000666667,-1.5574
58.54,84.38666667,184.1166667,133.81,189.2033333,-0.014966667,0.0022,-1.5731
58.72,67.73333333,185.1133333,137.17,184.64,-0.020466667,0.0006,-1.5866
56.28666667,74.82333333,182.4466667,110.0533333,186.73,-0.006866667,0.004166667,-1.6235
56.71333333,86.23333333,115.95,91.73666667,193.08,0.006566667,0.005166667,-1.692066667
59.47,103.1333333,124.8666667,77.21666667,194.5166667,0.0087,0.009066667,-1.796066667
60.68,143.9166667,181.9833333,87.16666667,162.0866667,0.005033333,0.010566667,-1.914166667
60.72666667,215.6366667,213.6066667,85.59333333,147.8333333,0.004433333,0.0188,-2.0475
57.84,197.2466667,245.1433333,71.2,148.88,0.0075,0.026633333,-2.162233333
58.21666667,148.02,190.2666667,102.5133333,157.0433333,0.0021,0.030133333,-2.246333333
56.62333333,66.95,210.5466667,147.4266667,166.27,-0.002,0.0227,-2.289366667
58.76333333,105.2466667,169.0133333,153.7866667,168.5933333,-0.0088,0.013266667,-2.3262
56.18666667,105.7633333,156.59,146.9,163.2233333,-0.016033333,0.006266667,-2.3637
57.31,98.49666667,104.5366667,103.3166667,191.0833333,-0.029433333,0.003666667,-2.408633333
55.59,57.62,108.3066667,103.7266667,197.7833333,-0.029633333,-0.0003,-2.481433333
55.73666667,58.26333333,115.68,87.5,227.1766667,-0.024433333,-0.005466667,-2.546833333
55.73333333,58.94,182.46,99.51,186.2066667,-0.003866667,-0.007966667,-2.605033333
55.26333333,85.88666667,149.0466667,125.71,165.5,0.015266667,-0.004866667,-2.629366667
55.49333333,116.4166667,126.53,119.3766667,118.4666667,0.0244,0.001366667,-2.6523
55.49666667,154.46,87.05333333,146.42,119.2533333,0.021666667,0.002233333,-2.673533333
